step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
53,1,0.738204,0.003219,0.738682,0.148572,0.034667,5e-05,2.144681,1.148438,3.3125,0.00072248,4.3e-07
54,1,0.81403,0.003354,0.814653,0.214276,0.035333,5e-05,4.506965,0.9375,4.21875,0.00075825,1.7e-07
55,1,0.717794,0.003239,0.718671,0.22075,0.036,5e-05,4.222462,1.09375,3.53125,0.00079274,2.1e-07
56,1,0.728533,0.002078,0.728962,0.207057,0.036667,5e-05,2.364837,0.855469,3.828125,0.00082651,2.7e-07
57,1,0.719931,0.003547,0.720627,0.192472,0.037333,5e-05,3.738385,0.828125,3.234375,0.00085989,1.7e-07
58,1,0.915616,0.002907,0.916119,0.233694,0.038,5e-05,20.761938,0.898438,4.25,0.0008919,8e-08
59,1,0.632681,0.001896,0.632825,0.088358,0.038667,5e-05,2.019305,1.273438,3.359375,0.00092191,5.2e-07
60,1,0.797433,0.002381,0.797899,0.172717,0.039333,5e-05,2.410408,1.273438,3.28125,0.00095399,6.6e-07
61,1,0.656251,0.001937,0.656553,0.140285,0.04,5e-05,1.363011,1.070312,4.03125,0.00098733,9.6e-07
62,1,0.636939,0.001749,0.637355,0.254395,0.040667,5e-05,0.95913,1.09375,3.8125,0.00102423,1.2e-06
63,1,0.66773,0.002183,0.668198,0.194511,0.041333,5e-05,5.255869,1.117188,3.375,0.00106395,1.4e-07
64,1,0.778162,0.001517,0.778492,0.218494,0.042,5e-05,1.528693,1.125,3.4375,0.00110136,1.28e-06
65,1,0.679405,0.001861,0.679598,0.095747,0.042667,5e-05,1.458628,1.601562,3.3125,0.00113952,1.11e-06
66,1,0.612769,0.002512,0.613278,0.155184,0.043333,5e-05,0.999759,0.832031,3.171875,0.00117958,1.18e-06
67,1,0.733968,0.002304,0.734335,0.168012,0.044,5e-05,2.471118,1.304688,3.59375,0.00122064,5.1e-07
68,1,0.70256,0.002584,0.703112,0.19976,0.044667,5e-05,2.753497,0.816406,3.703125,0.00126156,3.9e-07
69,1,0.750461,0.002327,0.750742,0.150744,0.045333,5e-05,5.537157,0.808594,3.3125,0.00130165,2.8e-07
70,1,0.687429,0.00231,0.687693,0.142984,0.046,5e-05,5.848083,1.21875,4.0,0.00134037,2.1e-07
71,1,0.685522,0.002413,0.685802,0.115482,0.046667,5e-05,1.293071,1.234375,4.5625,0.00137728,1.25e-06
72,1,0.673703,0.001907,0.673913,0.133851,0.047333,5e-05,1.19078,1.210938,3.40625,0.00141703,1.23e-06
73,1,0.726796,0.001369,0.72703,0.144269,0.048,5e-05,1.346069,0.890625,3.71875,0.00146001,1.16e-06
74,1,0.636748,0.001836,0.637137,0.225617,0.048667,5e-05,1.536664,1.125,3.703125,0.00150351,6.9e-07
75,1,0.665982,0.001361,0.666164,0.1738,0.049333,5e-05,0.924552,1.046875,4.6875,0.00154671,1.15e-06
76,1,0.630873,0.001201,0.631058,0.168552,0.05,5e-05,1.459515,0.867188,3.953125,0.0015918,1.22e-06
77,1,0.678927,0.001538,0.679177,0.182148,0.050667,5e-05,1.064439,1.203125,3.171875,0.00163884,1.43e-06
78,1,0.73039,0.001583,0.730712,0.182718,0.051333,5e-05,5.318143,0.789062,3.640625,0.00168765,3.4e-07
79,1,0.756512,0.002027,0.756755,0.171123,0.052,5e-05,1.435585,1.023438,3.515625,0.00173378,1.85e-06
80,1,0.712627,0.002263,0.712999,0.140848,0.052667,5e-05,0.864687,0.796875,3.375,0.00178036,2.59e-06
81,1,0.684873,0.001382,0.685089,0.161259,0.053333,5e-05,1.017947,0.890625,3.921875,0.00182804,1.64e-06
82,1,0.667007,0.002535,0.667978,0.264569,0.054,5e-05,1.21005,0.75,4.3125,0.00187734,1.17e-06
83,1,0.630973,0.00177,0.631239,0.160462,0.054667,5e-05,5.29036,0.902344,3.609375,0.00192684,3.4e-07
84,1,0.656626,0.001682,0.656936,0.154247,0.055333,5e-05,2.14252,0.992188,3.75,0.00197315,1.08e-06
85,1,0.676633,0.001779,0.676879,0.108969,0.056,5e-05,0.95523,0.902344,3.4375,0.00201943,2.14e-06
86,1,0.778483,0.001412,0.778664,0.151191,0.056667,5e-05,1.867062,0.8125,4.0,0.00206699,1.3e-06
87,1,0.689718,0.002212,0.690051,0.206101,0.057333,5e-05,2.0542,1.109375,3.3125,0.0021134,8.1e-07
88,1,0.700041,0.00128,0.700135,0.103781,0.058,5e-05,7.192328,1.351562,3.875,0.00215868,3.6e-07
89,1,0.646004,0.001168,0.646187,0.194104,0.058667,5e-05,0.87539,1.171875,3.75,0.00220109,2.38e-06
90,1,0.667632,0.001649,0.667918,0.148595,0.059333,5e-05,1.872359,1.101562,3.78125,0.00224569,1.07e-06
91,1,0.729053,0.001287,0.729159,0.075941,0.06,5e-05,2.446231,1.226562,3.46875,0.00228995,1.27e-06
92,1,0.647292,0.001208,0.647451,0.138945,0.060667,5e-05,1.017449,1.039062,4.0625,0.00233316,1.6e-06
93,1,0.624736,0.001359,0.62505,0.225975,0.061333,5e-05,0.907767,0.988281,4.3125,0.00237777,1.91e-06
94,1,0.611538,0.001495,0.611723,0.122663,0.062,5e-05,0.861067,1.140625,3.390625,0.00242185,2.33e-06
95,1,0.545928,0.00197,0.546395,0.251816,0.062667,5e-05,1.064869,0.980469,3.640625,0.00246668,9.5e-07
96,1,0.574182,0.002295,0.574578,0.162398,0.063333,5e-05,1.342353,0.9375,3.21875,0.00251043,8.8e-07
97,1,0.58555,0.00168,0.58593,0.256015,0.064,5e-05,1.784343,0.828125,3.453125,0.0025533,8e-07
98,1,0.681253,0.001841,0.681729,0.230936,0.064667,5e-05,1.623419,0.695312,4.09375,0.00259468,1.19e-06
99,1,0.720071,0.002005,0.720478,0.156541,0.065333,5e-05,1.841587,0.839844,3.5,0.0026359,1.41e-06
100,1,0.582925,0.002342,0.583453,0.159869,0.066,5e-05,0.818826,0.847656,3.484375,0.0026771,1.75e-06
101,1,0.615803,0.00159,0.616066,0.156378,0.066667,5e-05,0.811351,0.78125,4.25,0.00271925,1.82e-06
102,1,0.585628,0.001779,0.58594,0.145346,0.067333,5e-05,1.806139,0.835938,3.75,0.00276145,1.25e-06
103,1,0.675208,0.001569,0.675433,0.159865,0.068,5e-05,1.066303,1.289062,3.25,0.00280233,2.65e-06
104,1,0.716359,0.001849,0.716588,0.180902,0.068667,5e-05,1.451335,0.992188,3.59375,0.00284456,1.56e-06
105,1,0.738676,0.001415,0.738971,0.18456,0.069333,5e-05,3.244945,0.914062,3.71875,0.00288785,7.5e-07
106,1,0.665554,0.001085,0.665843,0.266887,0.07,5e-05,2.163977,1.054688,3.46875,0.00292854,1.13e-06
107,1,0.612015,0.001105,0.612231,0.201093,0.070667,5e-05,1.819069,0.886719,3.140625,0.00296803,8.5e-07
108,1,0.716337,0.001188,0.716518,0.13048,0.071333,5e-05,3.506916,0.902344,3.9375,0.00300626,1.01e-06
