step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
1,1,6.176178,0.019499,6.176803,0.029871,0.0,2e-05,214.821564,6.75,5.1875,0.0,0.0
2,1,1.26818,0.002354,1.268399,0.047902,0.000667,2e-05,584.506958,1.023438,4.3125,0.0,0.0
3,1,4.130243,0.019533,4.131542,0.064558,0.001333,2e-05,1593.883179,3.109375,5.5,0.0,0.0
4,1,1.81925,0.008899,1.819548,0.03915,0.002,2e-05,1009.101746,1.53125,4.53125,1e-08,0.0
5,1,1.491809,0.003014,1.491916,0.041926,0.002667,2e-05,370.254395,2.0625,4.875,6e-08,0.0
6,1,1.294287,0.001803,1.294437,0.06159,0.003333,2e-05,94.098358,1.148438,4.875,8e-08,0.0
7,1,1.237265,0.004026,1.237474,0.045611,0.004,2e-05,66.576874,1.382812,5.1875,8e-08,0.0
8,1,1.345399,0.003592,1.345528,0.037644,0.004667,2e-05,24.782701,2.140625,5.90625,1.8e-07,0.0
9,1,1.588129,0.00411,1.588255,0.038646,0.005333,2e-05,322.089966,0.964844,4.40625,3.6e-07,0.0
10,1,1.371816,0.003338,1.371988,0.05717,0.006,2e-05,149.208481,1.101562,5.53125,5.4e-07,0.0
11,1,1.196218,0.003974,1.19649,0.0465,0.006667,2e-05,16.671539,0.9375,4.71875,8.1e-07,0.0
12,1,1.285683,0.002639,1.285791,0.046689,0.007333,2e-05,22.538923,1.148438,4.75,1.37e-06,0.0
13,1,1.171234,0.00239,1.171306,0.029717,0.008,2e-05,13.276508,1.296875,4.96875,1.96e-06,0.0
14,1,1.360364,0.005163,1.360526,0.049364,0.008667,2e-05,90.601379,1.054688,4.4375,2.85e-06,0.0
15,1,1.209092,0.006216,1.209701,0.077618,0.009333,2e-05,43.281746,1.015625,4.6875,3.72e-06,0.0
16,1,1.325919,0.003586,1.326056,0.04728,0.01,2e-05,19.771221,1.445312,5.3125,4.64e-06,0.0
17,1,1.22629,0.004269,1.22649,0.046376,0.010667,2e-05,55.032043,0.988281,5.4375,5.73e-06,0.0
18,1,1.007779,0.002349,1.007902,0.053464,0.011333,2e-05,30.525154,1.015625,4.59375,6.89e-06,0.0
19,1,1.242272,0.002436,1.242385,0.051687,0.012,2e-05,30.031178,1.320312,4.4375,8.11e-06,0.0
20,1,1.133436,0.002479,1.133573,0.064689,0.012667,2e-05,8.457599,1.101562,4.6875,9.58e-06,1e-08
21,1,1.251403,0.002775,1.251543,0.062729,0.013333,2e-05,15.335785,1.164062,4.625,1.144e-05,1e-08
22,1,1.501973,0.001669,1.502037,0.03227,0.014,2e-05,18.777897,0.902344,5.5,1.364e-05,1e-08
23,1,1.223447,0.002954,1.22367,0.065119,0.014667,2e-05,27.382952,1.445312,4.28125,1.626e-05,0.0
24,1,1.245191,0.005072,1.245389,0.04061,0.015333,2e-05,46.036163,1.117188,5.0625,1.881e-05,0.0
25,1,1.301892,0.003964,1.302076,0.042994,0.016,2e-05,16.400311,1.179688,5.0,2.138e-05,1e-08
26,1,1.199095,0.00373,1.199376,0.059711,0.016667,2e-05,15.156574,1.0625,4.625,2.449e-05,2e-08
27,1,1.442212,0.004028,1.44234,0.037017,0.017333,2e-05,14.266322,1.015625,4.09375,2.814e-05,2e-08
28,1,1.176153,0.003788,1.176291,0.027812,0.018,2e-05,14.443733,1.140625,5.15625,3.23e-05,3e-08
29,1,1.294244,0.001752,1.294302,0.038787,0.018667,2e-05,15.665522,1.617188,4.8125,3.715e-05,2e-08
30,1,1.373488,0.002705,1.373556,0.037271,0.019333,2e-05,17.650127,1.429688,4.09375,4.178e-05,2e-08
31,1,1.182274,0.00325,1.182465,0.057619,0.02,2e-05,13.824123,1.109375,5.25,4.666e-05,2e-08
32,1,1.003285,0.002122,1.003355,0.035478,0.020667,2e-05,4.75575,1.0,5.0625,5.187e-05,3e-08
33,1,1.092153,0.00246,1.092317,0.061035,0.021333,2e-05,16.390203,1.539062,4.21875,5.703e-05,1e-08
34,1,1.240232,0.002801,1.240428,0.062559,0.022,2e-05,6.664482,1.195312,5.53125,6.23e-05,4e-08
