step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm
37,1,0.854439,0.0,0.854439,0.0,0.0,1e-05,0.17708
38,1,0.766609,0.0,0.766609,0.0,0.0,1e-05,0.154846
39,1,0.880871,0.0,0.880871,0.0,0.0,1e-05,0.167701
40,1,0.874175,0.0,0.874175,0.0,0.0,1e-05,0.151454
41,1,0.899515,0.0,0.899515,0.0,0.0,1e-05,0.182024
42,1,0.936706,0.0,0.936706,0.0,0.0,1e-05,0.246204
43,1,0.911426,0.0,0.911426,0.0,0.0,1e-05,0.192754
44,1,0.889616,0.0,0.889616,0.0,0.0,1e-05,0.200398
45,1,0.986488,0.0,0.986488,0.0,0.0,1e-05,0.266863
46,1,0.988324,0.0,0.988324,0.0,0.0,1e-05,0.251461
47,1,0.906834,0.0,0.906834,0.0,0.0,1e-05,0.291185
48,1,0.802445,0.0,0.802445,0.0,0.0,1e-05,0.237288
49,1,0.815668,0.0,0.815668,0.0,0.0,1e-05,0.191217
50,1,0.95105,0.0,0.95105,0.0,0.0,1e-05,0.266927
51,1,0.901707,0.0,0.901707,0.0,0.0,1e-05,0.290947
52,1,0.896521,0.0,0.896521,0.0,0.0,1e-05,0.256519
53,1,0.98009,0.0,0.98009,0.0,0.0,1e-05,0.314057
54,1,1.01515,0.0,1.01515,0.0,0.0,1e-05,0.320942
55,1,0.901542,0.0,0.901542,0.0,0.0,1e-05,0.248719
56,1,0.896761,0.0,0.896761,0.0,0.0,1e-05,0.404822
57,1,0.936051,0.0,0.936051,0.0,0.0,1e-05,0.306762
58,1,0.871396,0.0,0.871396,0.0,0.0,1e-05,0.292264
59,1,0.792146,0.0,0.792146,0.0,0.0,1e-05,0.253365
60,1,0.820492,0.0,0.820492,0.0,0.0,1e-05,0.236359
61,1,0.933973,0.0,0.933973,0.0,0.0,1e-05,0.270547
62,1,1.024043,0.0,1.024043,0.0,0.0,1e-05,0.285654
63,1,0.685508,0.0,0.685508,0.0,0.0,1e-05,0.244615
64,1,0.795246,0.0,0.795246,0.0,0.0,1e-05,0.257097
65,1,0.814876,0.0,0.814876,0.0,0.0,1e-05,0.21371
66,1,0.954409,0.0,0.954409,0.0,0.0,1e-05,0.316534
67,1,0.860024,0.0,0.860024,0.0,0.0,1e-05,0.242081
68,1,0.789951,0.0,0.789951,0.0,0.0,1e-05,0.340078
69,1,0.768387,0.0,0.768387,0.0,0.0,1e-05,0.20222
70,1,0.625233,0.0,0.625233,0.0,0.0,1e-05,0.1764
71,1,0.790127,0.0,0.790127,0.0,0.0,1e-05,0.311701
72,1,1.010453,0.0,1.010453,0.0,0.0,1e-05,0.297759
73,1,0.845082,0.0,0.845082,0.0,0.0,1e-05,0.270448
74,1,0.748355,0.0,0.748355,0.0,0.0,1e-05,0.228701
75,1,0.892006,0.0,0.892006,0.0,0.0,1e-05,0.535397
76,1,0.758527,0.0,0.758527,0.0,0.0,1e-05,0.246991
77,1,0.793096,0.0,0.793096,0.0,0.0,1e-05,0.342238
78,1,0.695868,0.0,0.695868,0.0,0.0,1e-05,0.225118
79,1,0.78223,0.0,0.78223,0.0,0.0,1e-05,0.249716
80,1,0.856134,0.0,0.856134,0.0,0.0,1e-05,0.293172
81,1,0.849119,0.0,0.849119,0.0,0.0,1e-05,0.260529
82,1,0.77912,0.0,0.77912,0.0,0.0,1e-05,0.238631
83,1,0.672123,0.0,0.672123,0.0,0.0,1e-05,0.296202
84,1,0.730439,0.0,0.730439,0.0,0.0,1e-05,0.324116
85,1,0.72777,0.0,0.72777,0.0,0.0,1e-05,1.247629
86,1,0.931983,0.0,0.931983,0.0,0.0,1e-05,0.441802
87,1,0.652423,0.0,0.652423,0.0,0.0,1e-05,0.26857
88,1,0.792047,0.0,0.792047,0.0,0.0,1e-05,0.243724
89,1,0.690977,0.0,0.690977,0.0,0.0,1e-05,0.248676
90,1,0.763936,0.0,0.763936,0.0,0.0,1e-05,0.544876
91,1,0.780007,0.0,0.780007,0.0,0.0,1e-05,0.269787
92,1,0.639058,0.0,0.639058,0.0,0.0,1e-05,0.281734
93,1,0.722715,0.0,0.722715,0.0,0.0,1e-05,0.266505
94,1,0.734196,0.0,0.734196,0.0,0.0,1e-05,0.253445
95,1,0.661122,0.0,0.661122,0.0,0.0,1e-05,0.243082
96,1,0.700476,0.0,0.700476,0.0,0.0,1e-05,0.29341
97,1,0.737453,0.0,0.737453,0.0,0.0,1e-05,0.326585
98,1,0.685739,0.0,0.685739,0.0,0.0,1e-05,0.251119
99,1,0.739571,0.0,0.739571,0.0,0.0,1e-05,0.210431
100,1,0.719616,0.0,0.719616,0.0,0.0,1e-05,0.242196
101,1,0.72791,0.0,0.72791,0.0,0.0,1e-05,0.257546
102,1,0.73496,0.0,0.73496,0.0,0.0,1e-05,0.289941
103,1,0.659607,0.0,0.659607,0.0,0.0,1e-05,0.357525
104,1,0.656582,0.0,0.656582,0.0,0.0,1e-05,0.224173
105,1,0.591825,0.0,0.591825,0.0,0.0,1e-05,0.251642
106,1,0.687141,0.0,0.687141,0.0,0.0,1e-05,0.244952
107,1,0.692522,0.0,0.692522,0.0,0.0,1e-05,0.23521
108,1,0.603561,0.0,0.603561,0.0,0.0,1e-05,0.238083
109,1,0.64601,0.0,0.64601,0.0,0.0,1e-05,0.248059
110,1,0.611181,0.0,0.611181,0.0,0.0,1e-05,0.217001
111,2,0.731085,0.0,0.731085,0.0,0.0,1e-05,0.279743
112,2,0.607082,0.0,0.607082,0.0,0.0,1e-05,0.2249
113,2,0.751969,0.0,0.751969,0.0,0.0,1e-05,0.28173
114,2,0.564747,0.0,0.564747,0.0,0.0,1e-05,0.261248
115,2,0.618709,0.0,0.618709,0.0,0.0,1e-05,0.225376
116,2,0.656582,0.0,0.656582,0.0,0.0,1e-05,0.239455
117,2,0.812668,0.0,0.812668,0.0,0.0,1e-05,0.231965
118,2,0.629717,0.0,0.629717,0.0,0.0,1e-05,0.22116
119,2,0.61133,0.0,0.61133,0.0,0.0,1e-05,0.222269
120,2,0.605767,0.0,0.605767,0.0,0.0,1e-05,0.243609
121,2,0.67512,0.0,0.67512,0.0,0.0,1e-05,0.287759
122,2,0.543965,0.0,0.543965,0.0,0.0,1e-05,0.266742
123,2,0.508258,0.0,0.508258,0.0,0.0,1e-05,0.216202
124,2,0.61009,0.0,0.61009,0.0,0.0,1e-05,0.227785
125,2,0.564435,0.0,0.564435,0.0,0.0,1e-05,0.226553
126,2,0.501487,0.0,0.501487,0.0,0.0,1e-05,0.233826
127,2,0.628331,0.0,0.628331,0.0,0.0,1e-05,0.242561
128,2,0.7015,0.0,0.7015,0.0,0.0,1e-05,0.243866
129,2,0.588143,0.0,0.588143,0.0,0.0,1e-05,0.232979
130,2,0.622658,0.0,0.622658,0.0,0.0,1e-05,0.212246
131,2,0.59174,0.0,0.59174,0.0,0.0,1e-05,0.21936
132,2,0.530694,0.0,0.530694,0.0,0.0,1e-05,0.265972
133,2,0.55475,0.0,0.55475,0.0,0.0,1e-05,0.230093
134,2,0.597125,0.0,0.597125,0.0,0.0,1e-05,0.203873
135,2,0.611934,0.0,0.611934,0.0,0.0,1e-05,0.217288
136,2,0.703235,0.0,0.703235,0.0,0.0,1e-05,0.586354
137,2,0.599372,0.0,0.599372,0.0,0.0,1e-05,0.225118
138,2,0.494036,0.0,0.494036,0.0,0.0,1e-05,0.239868
139,2,0.527566,0.0,0.527566,0.0,0.0,1e-05,0.209784
140,2,0.596705,0.0,0.596705,0.0,0.0,1e-05,0.198854
141,2,0.510471,0.0,0.510471,0.0,0.0,1e-05,0.24255
142,2,0.495191,0.0,0.495191,0.0,0.0,1e-05,1.976306
143,2,0.578582,0.0,0.578582,0.0,0.0,1e-05,0.187261
144,2,0.472666,0.0,0.472666,0.0,0.0,1e-05,0.202413
145,2,0.674465,0.0,0.674465,0.0,0.0,1e-05,0.380482
146,2,0.502425,0.0,0.502425,0.0,0.0,1e-05,0.238507
147,2,0.716437,0.0,0.716437,0.0,0.0,1e-05,0.291903
148,2,0.524471,0.0,0.524471,0.0,0.0,1e-05,0.29504
149,2,0.624615,0.0,0.624615,0.0,0.0,1e-05,0.784207
150,2,0.450323,0.0,0.450323,0.0,0.0,1e-05,0.202524
151,2,0.647372,0.0,0.647372,0.0,0.0,1e-05,0.216676
152,2,0.597499,0.0,0.597499,0.0,0.0,1e-05,0.165914
153,2,0.472212,0.0,0.472212,0.0,0.0,1e-05,0.173315
154,2,0.573405,0.0,0.573405,0.0,0.0,1e-05,0.220983
155,2,0.498777,0.0,0.498777,0.0,0.0,1e-05,0.191668
156,2,0.460344,0.0,0.460344,0.0,0.0,1e-05,0.23431
157,2,0.607917,0.0,0.607917,0.0,0.0,1e-05,0.236219
158,2,0.50772,0.0,0.50772,0.0,0.0,1e-05,0.160877
159,2,0.597335,0.0,0.597335,0.0,0.0,1e-05,0.176349
160,2,0.535437,0.0,0.535437,0.0,0.0,1e-05,0.435557
161,2,0.517765,0.0,0.517765,0.0,0.0,1e-05,0.152415
162,2,0.755116,0.0,0.755116,0.0,0.0,1e-05,0.18003
163,2,0.417075,0.0,0.417075,0.0,0.0,1e-05,0.200972
164,2,0.534346,0.0,0.534346,0.0,0.0,1e-05,0.184199
165,2,0.500169,0.0,0.500169,0.0,0.0,1e-05,0.180503
166,2,0.484616,0.0,0.484616,0.0,0.0,1e-05,0.181422
167,2,0.579378,0.0,0.579378,0.0,0.0,1e-05,0.378344
168,2,0.468935,0.0,0.468935,0.0,0.0,1e-05,0.158209
169,2,0.535562,0.0,0.535562,0.0,0.0,1e-05,0.200812
170,2,0.649193,0.0,0.649193,0.0,0.0,1e-05,0.214373
171,2,0.529516,0.0,0.529516,0.0,0.0,1e-05,0.193604
172,2,0.56771,0.0,0.56771,0.0,0.0,1e-05,0.146284
173,2,0.506761,0.0,0.506761,0.0,0.0,1e-05,0.194768
174,2,0.497447,0.0,0.497447,0.0,0.0,1e-05,0.363593
175,2,0.538302,0.0,0.538302,0.0,0.0,1e-05,0.158988
176,2,0.382175,0.0,0.382175,0.0,0.0,1e-05,0.142673
177,2,0.556055,0.0,0.556055,0.0,0.0,1e-05,0.168914
178,2,0.49664,0.0,0.49664,0.0,0.0,1e-05,0.127711
179,2,0.391113,0.0,0.391113,0.0,0.0,1e-05,0.16158
180,2,0.65728,0.0,0.65728,0.0,0.0,1e-05,0.175619
181,2,0.457104,0.0,0.457104,0.0,0.0,1e-05,0.183193
182,2,0.515248,0.0,0.515248,0.0,0.0,1e-05,0.191419
183,2,0.586355,0.0,0.586355,0.0,0.0,1e-05,0.180275
184,2,0.475101,0.0,0.475101,0.0,0.0,1e-05,0.180097
185,2,0.455233,0.0,0.455233,0.0,0.0,1e-05,0.148059
186,2,0.545214,0.0,0.545214,0.0,0.0,1e-05,0.153674
187,2,0.511547,0.0,0.511547,0.0,0.0,1e-05,0.172992
188,2,0.486065,0.0,0.486065,0.0,0.0,1e-05,0.220906
189,2,0.438661,0.0,0.438661,0.0,0.0,1e-05,0.141482
190,2,0.378495,0.0,0.378495,0.0,0.0,1e-05,0.172202
191,2,0.46719,0.0,0.46719,0.0,0.0,1e-05,0.117969
192,2,0.417043,0.0,0.417043,0.0,0.0,1e-05,0.140648
193,2,0.560936,0.0,0.560936,0.0,0.0,1e-05,0.16883
194,2,0.466653,0.0,0.466653,0.0,0.0,1e-05,0.149092
195,2,0.496407,0.0,0.496407,0.0,0.0,1e-05,0.160977
196,2,0.435088,0.0,0.435088,0.0,0.0,1e-05,0.148912
197,2,0.496967,0.0,0.496967,0.0,0.0,1e-05,0.132305
198,2,0.61086,0.0,0.61086,0.0,0.0,1e-05,0.135706
199,2,0.428017,0.0,0.428017,0.0,0.0,1e-05,0.108612
200,2,0.464749,0.0,0.464749,0.0,0.0,1e-05,0.201663
201,2,0.367755,0.0,0.367755,0.0,0.0,1e-05,0.227978
202,2,0.530573,0.0,0.530573,0.0,0.0,1e-05,0.289146
203,2,0.33047,0.0,0.33047,0.0,0.0,1e-05,0.562944
204,2,0.457085,0.0,0.457085,0.0,0.0,1e-05,0.14359
205,2,0.51723,0.0,0.51723,0.0,0.0,1e-05,0.11057
206,2,0.612948,0.0,0.612948,0.0,0.0,1e-05,0.152312
207,2,0.426854,0.0,0.426854,0.0,0.0,1e-05,0.09574
208,2,0.480727,0.0,0.480727,0.0,0.0,1e-05,0.103475
209,2,0.40331,0.0,0.40331,0.0,0.0,1e-05,0.312132
210,2,0.552399,0.0,0.552399,0.0,0.0,1e-05,0.129887
211,2,0.51422,0.0,0.51422,0.0,0.0,1e-05,0.173905
212,2,0.480916,0.0,0.480916,0.0,0.0,1e-05,0.087659
213,2,0.655696,0.0,0.655696,0.0,0.0,1e-05,0.103649
214,2,0.339427,0.0,0.339427,0.0,0.0,1e-05,0.163439
215,2,0.331254,0.0,0.331254,0.0,0.0,1e-05,0.110111
216,2,0.446907,0.0,0.446907,0.0,0.0,1e-05,0.098374
217,2,0.375116,0.0,0.375116,0.0,0.0,1e-05,0.219486
218,2,0.455529,0.0,0.455529,0.0,0.0,1e-05,0.138103
219,2,0.430564,0.0,0.430564,0.0,0.0,1e-05,0.196174
220,2,0.413471,0.0,0.413471,0.0,0.0,1e-05,0.126795
221,3,0.612055,0.0,0.612055,0.0,0.0,1e-05,0.100223
222,3,0.543271,0.0,0.543271,0.0,0.0,1e-05,0.11478
223,3,0.539105,0.0,0.539105,0.0,0.0,1e-05,0.167621
224,3,0.546768,0.0,0.546768,0.0,0.0,1e-05,0.110555
225,3,0.602967,0.0,0.602967,0.0,0.0,1e-05,0.107545
226,3,0.354981,0.0,0.354981,0.0,0.0,1e-05,0.091991
227,3,0.472652,0.0,0.472652,0.0,0.0,1e-05,0.084365
228,3,0.603711,0.0,0.603711,0.0,0.0,1e-05,0.131284
229,3,0.391814,0.0,0.391814,0.0,0.0,1e-05,0.090273
230,3,0.484031,0.0,0.484031,0.0,0.0,1e-05,0.107481
231,3,0.343906,0.0,0.343906,0.0,0.0,1e-05,0.078055
232,3,0.435618,0.0,0.435618,0.0,0.0,1e-05,0.136591
233,3,0.522322,0.0,0.522322,0.0,0.0,1e-05,0.369111
234,3,0.322104,0.0,0.322104,0.0,0.0,1e-05,0.111787
235,3,0.535913,0.0,0.535913,0.0,0.0,1e-05,0.114849
236,3,0.404929,0.0,0.404929,0.0,0.0,1e-05,0.141457
237,3,0.520409,0.0,0.520409,0.0,0.0,1e-05,0.138468
238,3,0.388017,0.0,0.388017,0.0,0.0,1e-05,0.075831
239,3,0.47075,0.0,0.47075,0.0,0.0,1e-05,0.591585
240,3,0.439384,0.0,0.439384,0.0,0.0,1e-05,0.160166
241,3,0.536913,0.0,0.536913,0.0,0.0,1e-05,0.103149
242,3,0.307424,0.0,0.307424,0.0,0.0,1e-05,0.184892
243,3,0.45063,0.0,0.45063,0.0,0.0,1e-05,0.077079
244,3,0.531563,0.0,0.531563,0.0,0.0,1e-05,0.110087
245,3,0.366095,0.0,0.366095,0.0,0.0,1e-05,0.133224
246,3,0.492296,0.0,0.492296,0.0,0.0,1e-05,0.135891
247,3,0.651088,0.0,0.651088,0.0,0.0,1e-05,0.150277
248,3,0.542887,0.0,0.542887,0.0,0.0,1e-05,0.158841
249,3,0.39,0.0,0.39,0.0,0.0,1e-05,0.307863
250,3,0.592728,0.0,0.592728,0.0,0.0,1e-05,0.611828
251,3,0.58375,0.0,0.58375,0.0,0.0,1e-05,0.094357
252,3,0.33034,0.0,0.33034,0.0,0.0,1e-05,0.121243
253,3,0.38051,0.0,0.38051,0.0,0.0,1e-05,0.09233
254,3,0.475436,0.0,0.475436,0.0,0.0,1e-05,0.126705
255,3,0.393262,0.0,0.393262,0.0,0.0,1e-05,0.167205
256,3,0.438391,0.0,0.438391,0.0,0.0,1e-05,0.385795
257,3,0.510688,0.0,0.510688,0.0,0.0,1e-05,0.174887
258,3,0.479741,0.0,0.479741,0.0,0.0,1e-05,0.131075
259,3,0.394668,0.0,0.394668,0.0,0.0,1e-05,0.163219
260,3,0.74647,0.0,0.74647,0.0,0.0,1e-05,0.146768
261,3,0.445083,0.0,0.445083,0.0,0.0,1e-05,0.241605
262,3,0.518133,0.0,0.518133,0.0,0.0,1e-05,0.10365
263,3,0.515443,0.0,0.515443,0.0,0.0,1e-05,0.076087
264,3,0.497155,0.0,0.497155,0.0,0.0,1e-05,0.313202
265,3,0.433064,0.0,0.433064,0.0,0.0,1e-05,0.223833
266,3,0.398294,0.0,0.398294,0.0,0.0,1e-05,0.14002
267,3,0.423634,0.0,0.423634,0.0,0.0,1e-05,0.162885
268,3,0.390833,0.0,0.390833,0.0,0.0,1e-05,0.203191
269,3,0.563013,0.0,0.563013,0.0,0.0,1e-05,0.210264
270,3,0.422223,0.0,0.422223,0.0,0.0,1e-05,0.125481
271,3,0.384704,0.0,0.384704,0.0,0.0,1e-05,0.051519
272,3,0.515977,0.0,0.515977,0.0,0.0,1e-05,0.141954
273,3,0.39449,0.0,0.39449,0.0,0.0,1e-05,0.098436
274,3,0.310962,0.0,0.310962,0.0,0.0,1e-05,0.05776
275,3,0.361151,0.0,0.361151,0.0,0.0,1e-05,0.167931
276,3,0.485355,0.0,0.485355,0.0,0.0,1e-05,0.952553
277,3,0.351749,0.0,0.351749,0.0,0.0,1e-05,0.073308
278,3,0.469394,0.0,0.469394,0.0,0.0,1e-05,0.129172
279,3,0.53366,0.0,0.53366,0.0,0.0,1e-05,0.276052
280,3,0.497049,0.0,0.497049,0.0,0.0,1e-05,0.134391
281,3,0.366995,0.0,0.366995,0.0,0.0,1e-05,0.142653
282,3,0.482909,0.0,0.482909,0.0,0.0,1e-05,0.105488
283,3,0.42694,0.0,0.42694,0.0,0.0,1e-05,0.138471
284,3,0.568796,0.0,0.568796,0.0,0.0,1e-05,0.122774
285,3,0.561524,0.0,0.561524,0.0,0.0,1e-05,0.216242
286,3,0.375818,0.0,0.375818,0.0,0.0,1e-05,0.055873
287,3,0.4336,0.0,0.4336,0.0,0.0,1e-05,0.065181
288,3,0.390809,0.0,0.390809,0.0,0.0,1e-05,0.24548
289,3,0.411584,0.0,0.411584,0.0,0.0,1e-05,0.084867
290,3,0.52767,0.0,0.52767,0.0,0.0,1e-05,0.119753
291,3,0.488864,0.0,0.488864,0.0,0.0,1e-05,0.181649
292,3,0.42754,0.0,0.42754,0.0,0.0,1e-05,0.134374
293,3,0.410714,0.0,0.410714,0.0,0.0,1e-05,0.134667
294,3,0.613275,0.0,0.613275,0.0,0.0,1e-05,1.008951
295,3,0.515194,0.0,0.515194,0.0,0.0,1e-05,0.196454
296,3,0.4348,0.0,0.4348,0.0,0.0,1e-05,0.099011
297,3,0.361927,0.0,0.361927,0.0,0.0,1e-05,0.083824
298,3,0.447501,0.0,0.447501,0.0,0.0,1e-05,0.055415
299,3,0.38763,0.0,0.38763,0.0,0.0,1e-05,0.175544
300,3,0.398301,0.0,0.398301,0.0,0.0,1e-05,0.075008
301,3,0.535887,0.0,0.535887,0.0,0.0,1e-05,0.307081
302,3,0.403586,0.0,0.403586,0.0,0.0,1e-05,0.115399
303,3,0.39999,0.0,0.39999,0.0,0.0,1e-05,0.081514
304,3,0.352541,0.0,0.352541,0.0,0.0,1e-05,0.084254
