step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
49,1,0.699779,0.0,0.699779,0.0,0.048,3e-05,9.042274,4.71875,5.34375,7.175e-05,5e-08
50,1,0.576806,0.0,0.576806,0.0,0.049,3e-05,49.216854,5.625,5.625,7.478e-05,2e-08
51,1,0.517789,0.0,0.517789,0.0,0.05,3e-05,18.946665,5.9375,6.0625,7.775e-05,1e-08
52,1,0.572219,0.0,0.572219,0.0,0.051,3e-05,4.919568,4.53125,5.21875,8.092e-05,4e-08
53,1,0.45589,0.0,0.45589,0.0,0.052,3e-05,4.622459,5.09375,5.4375,8.366e-05,3e-08
54,1,0.498703,0.0,0.498703,0.0,0.053,3e-05,3.879439,4.53125,5.0,8.692e-05,4e-08
55,1,0.517228,0.0,0.517228,0.0,0.054,3e-05,4.313211,3.984375,5.46875,8.996e-05,2e-08
56,1,0.507214,0.0,0.507214,0.0,0.055,3e-05,16.056206,4.84375,6.625,9.382e-05,6e-08
57,1,0.57755,0.0,0.57755,0.0,0.056,3e-05,10.542014,5.6875,5.90625,9.862e-05,7e-08
58,1,0.422504,0.0,0.422504,0.0,0.057,3e-05,6.75824,4.90625,5.9375,0.00010412,4e-08
59,1,0.451763,0.0,0.451763,0.0,0.058,3e-05,3.640374,5.0625,5.53125,0.00010987,5e-08
60,1,0.531561,0.0,0.531561,0.0,0.059,3e-05,9.87316,5.96875,5.5,0.00011578,3e-08
61,1,0.45735,0.0,0.45735,0.0,0.06,3e-05,3.413592,5.125,6.03125,0.00012149,2e-08
62,1,0.509162,0.0,0.509162,0.0,0.061,3e-05,9.037894,4.40625,5.9375,0.00012717,5e-08
63,1,0.636202,0.0,0.636202,0.0,0.062,3e-05,4.177742,5.21875,5.375,0.00013229,6e-08
64,1,0.473305,0.0,0.473305,0.0,0.063,3e-05,2.330918,4.9375,5.25,0.0001365,3e-08
65,1,0.534088,0.0,0.534088,0.0,0.064,3e-05,3.064316,4.875,5.625,0.00014079,9e-08
66,1,0.567226,0.0,0.567226,0.0,0.065,3e-05,2.750468,4.3125,5.3125,0.00014441,6e-08
67,1,0.465772,0.0,0.465772,0.0,0.066,3e-05,4.057805,6.21875,6.1875,0.0001485,1e-07
68,1,0.45236,0.0,0.45236,0.0,0.067,3e-05,2.975059,4.78125,5.6875,0.00015331,1e-07
69,1,0.585445,0.0,0.585445,0.0,0.068,3e-05,2.234424,5.0,5.1875,0.00015714,5e-08
70,1,0.398874,0.0,0.398874,0.0,0.069,3e-05,1.899526,4.0625,5.125,0.0001612,5e-08
71,1,0.582107,0.0,0.582107,0.0,0.07,3e-05,3.164309,4.46875,5.75,0.00016585,1.4e-07
72,1,0.462345,0.0,0.462345,0.0,0.071,3e-05,9.984288,3.9375,5.59375,0.00017102,3e-08
73,1,0.3489,0.0,0.3489,0.0,0.072,3e-05,3.737675,4.53125,4.96875,0.00017617,7e-08
74,1,0.391942,0.0,0.391942,0.0,0.073,3e-05,3.414045,5.09375,5.5,0.00018113,1e-07
75,1,0.577418,0.0,0.577418,0.0,0.074,3e-05,5.131893,5.59375,5.71875,0.00018673,1.1e-07
76,1,0.539771,0.0,0.539771,0.0,0.075,3e-05,2.978325,5.125,5.40625,0.00019231,6e-08
77,1,0.429613,0.0,0.429613,0.0,0.076,3e-05,3.173233,5.25,5.5625,0.00019783,1.6e-07
78,1,0.418953,0.0,0.418953,0.0,0.077,3e-05,2.917876,3.84375,5.25,0.00020377,1.6e-07
79,1,0.535182,0.0,0.535182,0.0,0.078,3e-05,2.648414,5.40625,6.375,0.00020917,6e-08
80,1,0.447681,0.0,0.447681,0.0,0.079,3e-05,2.379031,5.09375,5.875,0.00021409,8e-08
81,1,0.47766,0.0,0.47766,0.0,0.08,3e-05,3.554278,5.46875,6.125,0.00021942,9e-08
82,1,0.419909,0.0,0.419909,0.0,0.081,3e-05,2.592971,4.0,5.15625,0.000224,1.7e-07
83,1,0.385634,0.0,0.385634,0.0,0.082,3e-05,1.910282,4.5625,5.375,0.00022765,1.1e-07
